o_provincia	o_localidad	o_calle	o_numero	o_CP	n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP	n_resolucion	n_motivo	n_entre Calle 1	n_entre Calle 2	 CV_ZonaPeligrosa
SANTA FE	ROSARIO	PAGO DE LOS ARROYOS	6713	2000	SANTA FE	ROSARIO	ROSARIO	PRESIDENTE ROQUE SAENZ PEÑA	PAGO DE LOS ARROYOS	6713	2011	CO	SM	CALLE 503 A	AVENIDA CIRCUNVALACION 25 DE MAYO	N
LA PAMPA	GENERAL PICO	JUAN BAUTISTA ALBERDI	951	6360	LA PAMPA		GENERAL PICO		JUAN BAUTISTA ALBERDI	951	6360	NE	CI			
BUENOS AIRES	ESCOBAR	RUTA 9 KILOMETRO 55-500	S/N	1625	BUENOS AIRES		BELEN DE ESCOBAR		RUTA 9		1625	DU	DS			
CORDOBA	CORDOBA	MANUEL PODESTA	2520	5000	CORDOBA	CAPITAL	CORDOBA	VILLA PAEZ	DR M PODESTA	2520	5003	CO	SM	ARMENGOL TECERA	PASAJE HECTOR BASALDUA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PUEYRREDON AVDA.	1064	1118	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV GRAL JUAN M DE PUEYRREDON	1064	1118	CO	SM	AVENIDA CORDOBA	PARAGUAY	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	DEL VALLE ARISTOBULO	484	1161	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOCA	ARISTOBULO DEL VALLE	484	1161	CO	SM	AVENIDA ALMIRANTE GUILLERMO BROWN	MARTIN RODRIGUEZ	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BELGRANO AVDA.	1217	1093	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	1217	1093	CO	SM	SALTA	SANTIAGO DEL ESTERO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CERRITO	1136	1010	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	CERRITO	1136	1010	CO	SM	AVENIDA SANTA FE	ARENALES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	RIVADAVIA AVDA.	602	1406	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AV B RIVADAVIA	602	1002	CO	SM	FLORIDA	BATALLA DE CHACABUCO	N
BUENOS AIRES	GARIN	RUTA PANAMERICANA KM 38 500	S/N	1619	BUENOS AIRES		GARIN		RUTA PANAMERICANA		1619	DU	DA			
