n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP
SANTA FE	ROSARIO	ROSARIO	PRESIDENTE ROQUE SAENZ PEÑA	PAGO DE LOS ARROYOS	6713	2011
LA PAMPA		GENERAL PICO		JUAN BAUTISTA ALBERDI	951	6360
BUENOS AIRES		BELEN DE ESCOBAR		RUTA 9		1625
CORDOBA	CAPITAL	CORDOBA	VILLA PAEZ	DR M PODESTA	2520	5003
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV GRAL JUAN M DE PUEYRREDON	1064	1118
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOCA	ARISTOBULO DEL VALLE	484	1161
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	1217	1093
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	CERRITO	1136	1010
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AV B RIVADAVIA	602	1002
BUENOS AIRES		GARIN		RUTA PANAMERICANA		1619
BUENOS AIRES	MORON	EL PALOMAR		EVENIDA WERNICKE	311	1684
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	CAMPOS SALLES	2289	1429
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	BRUNO M DE ZABALA	2443	1426
BUENOS AIRES	LANUS	LANUS OESTE	VILLA DE LOS INDUSTRIALES	TACUARI	2249	1824
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	CNEL CHARLONE	766	1427
MISIONES		GARUPA		RUTA 12		
NEUQUEN	CONFLUENCIA	NEUQUEN	VILLA FARREL	L N ALEM	349	8300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	J MARTI	1531	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	2205	1123
BUENOS AIRES	ALMIRANTE BROWN	LONGCHAMPS		RUTA 210		1854
SANTA FE	ROSARIO	ROSARIO	REMEDIOS DE ESCALADA DE SAN MARTIN	CORDOBA	3441	2002
CORDOBA	RIO CUARTO	RIO CUARTO	INDUSTRIAL	SARMIENTO	2781	5800
BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	CHARCAS	4864	1766
SANTA FE		VERA		SAN MARTIN		3550
BUENOS AIRES	VICENTE LOPEZ	LA LUCILA		AV DEL LIBERTADOR	4189	1636
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	AV C FOREST	355	1427
CORDOBA	TERCERO ARRIBA	RIO TERCERO	BELGRANO	AV PTE H YRIGOYEN	1193	5850
BUENOS AIRES	MORON	EL PALOMAR		AV PTE J D PERON	3133	1684
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	CERRITO	1136	1010
SANTA FE		LAS PAREJAS		SIN DIRECCION		2505
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	ROSARIO	200	1424
BUENOS AIRES	TRES DE FEBRERO	CIUDADELA		PTE H YRIGOYEN	1445	1702
BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	COCHABAMBA	2101	1766
CHACO	MAYOR LUIS J FONTANA	VILLA ANGELA		AV COLON	860	3540
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	1480	1060
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	TTE GRAL JUAN D PERON	2823	1198
CORDOBA		CORDOBA		AVENIDA CIRCUNVALACION		5016
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		AV B TISCORNIA	1100	1642
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		RIVADAVIA	129	1642
BUENOS AIRES	LA MATANZA	LA TABLADA		CALLAO	441	1766
CHUBUT	RAWSON	TRELEW	CENTRO	PARAGUAY	729	9100
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	AV M EVA DUARTE DE PERON	5128	1439
MENDOZA		GENERAL GUTIERREZ		R PEAA		5511
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	CALLE SAN LORENZO		
CORDOBA		ALMAFUERTE		LEANDRO NICEFORO ALEM		5854
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV PRES MANUEL QUINTANA	325	1014
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	CHARCAS	3073	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV GRAL JUAN M DE PUEYRREDON	480	1032
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	FREIRE	932	1426
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SAN JOSE	1469	1136
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	CAÑADA DE GOMEZ	1534	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	661	1001
BUENOS AIRES	MERLO	MERLO		AVELLANEDA	486	1722
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONTE CASTRO	CALDERON DE LA BARCA	2261	1417
CORDOBA		CORDOBA		AVENIDA DON BOSCO	10	5000
CORDOBA	SANTA MARIA	ALTA GRACIA	CARLOS PELLEGRINI	AV PELLEGRINI	971	5186
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	CRISOLOGO LARRALDE	1890	1429
BUENOS AIRES	LOMAS DE ZAMORA	BANFIELD		FELIX DE AZARA	1780	1828
BUENOS AIRES	SAN ISIDRO	BECCAR		BRASIL	440	1643
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	1189	1092
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	PINTO	4851	1429
BUENOS AIRES	MORON	HAEDO		GDOR E CASTRO	729	1706
BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA EDEN ARGENTINO	AV GRAL SAN MARTIN	3694	1826
BUENOS AIRES	TRES DE FEBRERO	JOSE INGENIEROS	PARTIDO 3 DE FEBRERO	BRANDSEN		2
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN JOSE VIAMONTE	540	1053
SANTA FE	ROSARIO	ROSARIO	CENTRO	CORDOBA	1438	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MAIPU	42	1084
ENTRE RIOS	CONCORDIA	CONCORDIA		SAN LORENZO OESTE	748	3200
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR M MORENO	1417	1093
SANTA FE	LAS COLONIAS	FRANCK		PRES BERNARDINO RIVADAVIA	1998	3009
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	DR C TEJEDOR	733	1424
BUENOS AIRES	LA MATANZA	LOMAS DEL MIRADOR		AV BDIER J M DE ROSAS	1590	1752
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN		CALLE 84	4357	1650
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	INT CAMPOS		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	VIRREY LINIERS	1935	1241
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	CNEL N VEGA	5047	1414
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR A ALSINA	478	1087
BUENOS AIRES	PEHUAJO	PEHUAJO		CDORO P LUIS ZANNI	253	6450
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	PEREYRA L	2536	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	LIMA	711	1073
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	PARANA	851	1017
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	BALCARCE	248	1064
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	T GARCIA	1963	1426
